episode,step,reward,dropped,drop_rate,completed,accepted
2,27,1.5,7,0.25,17,21
2,28,1.5,7,0.2413793103448276,18,22
2,29,1.5,7,0.23333333333333334,19,23
2,30,1.5,7,0.22580645161290322,20,24
2,31,1.5,7,0.21875,21,25
2,32,-6.0,8,0.24242424242424243,21,25
2,33,-6.0,9,0.2647058823529412,21,25
2,34,-1.0,9,0.2571428571428571,21,26
2,35,1.0,9,0.25,22,27
2,36,1.0,9,0.24324324324324326,23,28
2,37,-6.5,10,0.2631578947368421,23,28
2,38,-4.0,11,0.28205128205128205,24,28
2,39,-1.0,11,0.275,24,29
2,40,-1.0,11,0.2682926829268293,24,30
2,41,1.0,11,0.2619047619047619,25,31
2,42,-4.0,12,0.27906976744186046,26,31
2,43,-6.0,13,0.29545454545454547,26,31
2,44,1.5,13,0.28888888888888886,27,32
2,45,-2.0,14,0.30434782608695654,29,32
2,46,2.0,14,0.2978723404255319,30,33
2,47,0.0,14,0.2916666666666667,30,34
2,48,2.0,14,0.2857142857142857,31,35
2,49,1.5,14,0.28,32,36
3,0,0.5,0,0.0,0,1
3,1,0.0,0,0.0,0,2
3,2,2.5,0,0.0,1,3
3,3,0.0,0,0.0,1,4
3,4,-0.5,0,0.0,1,5
3,5,-1.0,0,0.0,1,6
3,6,-1.5,0,0.0,1,7
3,7,3.0,0,0.0,3,8
3,8,1.0,0,0.0,4,9
3,9,-6.5,1,0.1,4,9
3,10,-6.5,2,0.18181818181818182,4,9
3,11,1.0,2,0.16666666666666666,5,10
3,12,3.5,2,0.15384615384615385,7,11
3,13,1.5,2,0.14285714285714285,8,12
3,14,-0.5,2,0.13333333333333333,8,13
3,15,1.5,2,0.125,9,14
3,16,3.5,2,0.11764705882352941,11,15
3,17,-1.0,2,0.1111111111111111,11,16
3,18,1.0,2,0.10526315789473684,12,17
3,19,3.5,2,0.1,14,18
3,20,1.5,2,0.09523809523809523,15,19
3,21,1.5,2,0.09090909090909091,16,20
3,22,-1.0,2,0.08695652173913043,16,21
3,23,3.5,2,0.08333333333333333,18,22
3,24,-1.0,2,0.08,18,23
3,25,1.0,2,0.07692307692307693,19,24
3,26,-6.5,3,0.1111111111111111,19,24
3,27,-6.5,4,0.14285714285714285,19,24
