episode,total_steps,total_tasks_created,tasks_accepted,tasks_dropped,tasks_completed,episode_reward,avg_queue_time,load_imbalance,server_0_freq,server_1_freq,server_2_freq
75,300,300,300,0,-1158,-3084.56,1028.1867,15.2473,33.33,33.33,33.33
76,300,300,300,0,-1113,-3037.47,1012.49,17.4297,33.33,33.33,33.33
77,300,300,300,0,-914,-2732.01,910.67,12.8388,33.33,33.33,33.33
78,300,300,300,0,-1046,-2998.54,999.5133,15.7994,33.33,33.33,33.33
79,300,300,300,0,-1023,-2893.24,964.4133,8.5432,33.33,33.33,33.33
80,300,300,300,0,-1109,-2939.9,979.9667,16.6179,33.33,33.33,33.33
81,300,300,300,0,-1023,-2907.2,969.0667,15.063,33.33,33.33,33.33
82,300,300,300,0,-1011,-2865.25,955.0833,16.0441,33.33,33.33,33.33
83,300,300,300,0,-1061,-2922.54,974.18,9.183,33.33,33.33,33.33
84,300,300,300,0,-1065,-2932.92,977.64,16.7972,33.33,33.33,33.33
85,300,300,300,0,-1018,-2923.83,974.61,18.4469,33.33,33.33,33.33
86,300,300,300,0,-1068,-2953.72,984.5733,5.8768,33.33,33.33,33.33
87,300,300,300,0,-1129,-3047.62,1015.8733,15.7467,33.33,33.33,33.33
88,300,300,300,0,-1008,-2915.52,971.84,7.5038,33.33,33.33,33.33
89,300,300,300,0,-1081,-2946.27,982.09,22.1153,33.33,33.33,33.33
90,300,300,300,0,-1076,-2954.77,984.9233,7.1438,33.33,33.33,33.33
91,300,300,300,0,-1031,-2893.5,964.5,15.1498,33.33,33.33,33.33
92,300,300,300,0,-1076,-2956.93,985.6433,15.7568,33.33,33.33,33.33
93,300,300,300,0,-1056,-2910.58,970.1933,12.5571,33.33,33.33,33.33
94,300,300,300,0,-1086,-3007.6,1002.5333,12.4732,33.33,33.33,33.33
95,300,300,300,0,-1082,-2976.5,992.1667,19.5739,33.33,33.33,33.33
96,300,300,300,0,-1084,-3023.49,1007.83,30.4517,33.33,33.33,33.33
97,300,300,300,0,-988,-2834.47,944.8233,8.4703,33.33,33.33,33.33
98,300,300,300,0,-1031,-2841.05,947.0167,16.372,33.33,33.33,33.33
99,300,300,300,0,-1032,-2953.87,984.6233,16.5315,33.33,33.33,33.33
100,300,300,300,0,-1081,-2993.25,997.75,13.8872,33.33,33.33,33.33
